animation ids:
	ID | 	DESCRIPTION
	1	IDLE
	7	SLOW WALK
	11	NORMAL WALK
	12	STOP WALKING
	16	TURN AROUND LEFT
	17	END TURN AROUND LEFT?
	18	EDGE STOP
	19	WALK SEMI TRIPPING
	26	STUCK
	28	FALLING FINAL STAGE
	29	NON LETHAL FALL DAMAGE
	30	LETHAL FALL DAMAGE
	36	JUMP
	37	LAND FROM JUMP
	38	DOUBLE JUMP
	39	LAND FROM DOUBLE JUMP?
	40	ALSO USING IDLE (REMY)
	41	ALSO USING IDLE (REMY)
	46	POINT JUMP IDLE
	47	POINT JUMP LAND
	48	POINT JUMP ATTACH
	49	ALSO POINT JUMP LAND (REMY)
	51	LEDGE GRAB START
	52	LEDGE GRAB FINISH
	53	POLE JUMP START
	54	POLE JUMP END
	55 	POLE IDLE
	56	POLE SWITCH SIDE
	57	IMPACT DAMAGE
	58	IMPACT DAMAGE LAND
	59	WATER DAMAGE
	60	RETURN TO LAND AFTER WATER DAMAGE
	65	ROPE LAND
	66	ROPE ATTACH
	67	ALSO ROPE LAND (REMY)
	68	ROPE IDLE
	69	ROPE WALK
	70	ROPE TURNAROUND
	71	ROPE FALLING START
	72	ROPE FALLING VARIANT 1
	73	ROPE FALLING VARIANT 2
	74	ROPE FALLING VARIANT 3?
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
